census_tract,total_loans,va_loans,va_total_amount,conv_loans,fha_loans
04013112202,43,0,0,22,21
04013112301,48,0,0,31,17
04013112302,57,3,525000,38,16
04013112401,45,0,0,32,13
04013112402,50,2,410000,36,12
04013112502,51,1,345000,33,17
04013112504,14,1,355000,9,4
04013112507,7,0,0,7,0
04013112508,22,2,380000,14,6
04013112510,60,2,810000,41,17
04013112512,5,0,0,2,3
04013112514,159,7,2465000,103,49
04013112515,70,4,1390000,48,18
04013112516,48,1,245000,36,11
04013112517,69,5,2065000,46,17
04013112518,129,6,2210000,70,53
04013112519,57,0,0,34,23
04013112520,50,5,1585000,31,14
04013112522,40,0,0,32,8
04013112523,64,8,2680000,35,21
04013112524,21,1,335000,18,2
04013112601,17,0,0,11,6
04013112602,38,0,0,25,13
04013112700,48,1,415000,30,17
04013112900,68,7,2835000,56,5
04013113000,31,2,1100000,29,0
04013113100,16,0,0,16,0
04013113201,31,1,715000,28,2
04013113202,19,2,1540000,14,3
04013113204,41,1,545000,35,5
04013113301,14,0,0,11,3
04013113502,9,1,455000,7,1
04013113503,28,1,225000,18,9
04013113601,24,0,0,23,1
04013113602,21,2,960000,15,4
04013113701,31,3,1595000,27,1
04013113702,13,2,690000,9,2
04013113800,14,0,0,14,0
04013113900,4,0,0,4,0
04013114000,23,1,285000,21,1
04013114100,19,0,0,19,0
04013114200,13,0,0,11,2
04013114301,4,0,0,4,0
04013114302,16,0,0,10,6
04013114401,22,1,295000,17,4
04013114402,22,1,285000,16,5
04013114500,25,2,970000,12,11
04013114600,23,0,0,13,10
04013114704,6,0,0,5,1
04013114800,35,0,0,19,16
04013114900,14,0,0,10,4
04013115200,41,2,390000,30,9
04013115300,32,1,295000,22,9
04013115400,24,0,0,14,10
04013115500,29,0,0,18,11
04013115600,322,24,9310000,183,115
04013115700,58,4,1660000,41,13
04013115801,27,1,295000,23,3
04013115802,30,1,355000,19,10
04013115900,65,4,1370000,41,20
04013116000,110,7,3015000,66,37
04013116100,41,0,0,31,10
04013116202,66,2,470000,47,17
04013116203,104,4,1590000,85,15
04013116204,33,3,1165000,20,10
04013116205,45,2,650000,25,18
04013116300,75,3,1115000,59,13
04013116400,94,2,820000,74,18
04013116500,53,3,1125000,41,9
04013116605,116,9,3415000,78,29
04013116606,78,6,2280000,46,26
04013116607,123,8,2990000,91,24
04013116610,144,5,1845000,107,32
04013116611,242,26,14400000,191,25
04013116612,182,14,5850000,121,47
04013116614,62,1,315000,38,23
04013116615,53,3,905000,35,15
04013116616,115,11,4585000,76,28
04013116617,78,1,455000,64,13
04013116618,343,19,8315000,227,97
04013116619,349,31,13985000,204,114
04013116620,145,17,7325000,95,33
04013116621,80,8,3460000,50,22
04013116703,160,8,4280000,119,33
04013116707,69,4,1450000,56,9
04013116708,136,11,4165000,103,22
04013116709,27,0,0,24,3
04013116710,108,5,3725000,101,2
04013116711,38,4,1580000,32,2
04013116712,105,4,1660000,90,11
04013116713,116,3,1525000,109,4
04013116714,55,2,910000,47,6
04013116715,49,1,235000,47,1
04013116717,22,3,1005000,15,4
04013116718,28,2,770000,24,2
04013116719,93,2,940000,81,10
04013116720,58,2,920000,50,6
04013116721,66,3,1485000,63,0
04013116725,116,8,3710000,98,10
04013116727,101,3,1775000,94,4
04013116728,88,7,4235000,77,4
04013116729,81,2,820000,78,1
04013116730,39,2,1190000,36,1
04013116731,90,4,2110000,75,11
04013116732,114,5,2775000,93,16
04013116733,2,0,0,1,1
04013116734,61,1,355000,51,9
04013116735,31,2,430000,25,4
04013116736,42,1,475000,33,8
04013116737,77,6,3280000,58,13
04013116738,153,4,1630000,132,17
04013116800,52,0,0,47,5
04013116900,17,3,815000,11,3
04013117000,74,8,3480000,55,11
04013117100,30,0,0,26,4
04013117200,10,0,0,5,5
04013117300,10,0,0,7,3
04013216806,101,1,545000,98,2
04013216807,169,1,445000,163,5
04013216809,103,2,3100000,99,2
04013216810,50,0,0,47,3
04013216813,118,1,1035000,114,3
04013216816,139,1,1925000,134,4
04013216819,191,9,6195000,178,4
04013216820,110,7,3385000,101,2
04013216821,182,10,8330000,170,2
04013216822,125,3,3275000,120,2
04013216826,93,0,0,92,1
04013216829,173,1,1015000,171,1
04013216830,38,0,0,37,1
04013216831,72,2,2730000,70,0
04013216832,69,1,355000,68,0
04013216833,104,2,1050000,99,3
04013216834,67,0,0,66,1
04013216835,65,0,0,62,3
04013216836,70,1,435000,65,4
04013216837,82,2,770000,77,3
04013216838,110,5,3805000,101,4
04013216839,77,3,2415000,73,1
04013216840,122,7,7255000,114,1
04013216841,87,2,1960000,82,3
04013216842,78,0,0,77,1
04013216843,215,3,3625000,210,2
04013216844,104,0,0,102,2
04013216845,27,1,755000,26,0
04013216849,113,3,2895000,108,2
04013216850,54,3,1575000,47,4
04013216851,129,1,1445000,126,2
04013216852,43,4,1500000,36,3
04013216853,81,0,0,75,6
04013216854,82,0,0,82,0
04013216855,80,0,0,77,3
04013216856,82,2,980000,79,1
04013216857,96,3,1705000,88,5
04013216859,151,1,835000,149,1
04013216860,41,0,0,41,0
04013216861,100,0,0,99,1
04013216901,98,3,1485000,91,4
04013216902,94,2,1410000,91,1
04013217001,142,3,1055000,136,3
04013217002,147,1,195000,133,13
04013217101,65,1,625000,62,2
04013217102,63,2,1180000,60,1
04013217201,20,1,775000,18,1
04013217203,112,1,535000,108,3
04013217204,45,0,0,42,3
04013217300,94,1,425000,91,2
04013217400,81,2,1220000,75,4
04013217501,27,0,0,26,1
04013217502,59,0,0,59,0
04013217600,72,1,285000,70,1
04013217700,119,0,0,118,1
04013217800,140,3,2015000,126,11
04013217900,72,3,1525000,63,6
04013218000,111,1,585000,107,3
04013218100,41,0,0,40,1
04013218200,88,0,0,84,4
04013218300,65,2,930000,58,5
04013318400,34,1,255000,30,3
04013318501,29,1,325000,25,3
04013318700,14,1,275000,13,0
04013318800,49,0,0,47,2
04013318900,86,3,1445000,78,5
04013319002,30,0,0,30,0
04013319103,9,0,0,7,2
04013319104,10,0,0,10,0
04013319201,52,0,0,43,9
04013319202,14,1,405000,12,1
04013319300,27,1,335000,21,5
04013319401,101,2,740000,84,15
04013319402,70,0,0,63,7
04013319403,63,0,0,59,4
04013319404,75,3,1215000,67,5
04013319500,93,2,950000,84,7
04013319600,98,4,1810000,91,3
04013319705,60,1,415000,52,7
04013319706,32,0,0,27,5
04013319708,55,2,490000,47,6
04013319710,17,2,840000,13,2
04013319801,27,3,1245000,24,0
04013319802,35,0,0,35,0
04013319902,45,2,880000,37,6
04013319903,93,2,390000,84,7
04013319904,97,1,595000,91,5
04013319905,99,4,1840000,87,8
04013319906,42,2,880000,37,3
04013319907,41,1,585000,40,0
04013319908,27,4,1580000,18,5
04013319909,48,1,465000,46,1
04013319910,55,1,585000,54,0
04013320001,31,0,0,29,2
04013320002,26,1,405000,19,5
04013320007,61,0,0,52,9
04013320100,35,3,1745000,30,2
04013420104,100,3,1285000,84,13
04013420105,186,8,4050000,170,8
04013420107,161,6,3730000,152,3
04013420108,53,0,0,53,0
04013420109,103,1,565000,101,1
04013420110,131,7,4225000,115,9
04013420111,73,2,750000,58,13
04013420112,69,11,4835000,45,13
04013420113,39,3,825000,30,6
04013420114,73,4,1110000,50,19
04013420115,38,3,1235000,30,5
04013420116,45,2,510000,27,16
04013420202,135,11,3885000,95,29
04013420206,159,9,3155000,130,20
04013420207,77,5,3395000,69,3
04013420208,119,7,3345000,95,17
