census_tract,total_loans,va_loans,va_total_amount,conv_loans,fha_loans
06073015704,44,5,2345000,37,2
06071007404,74,4,2300000,56,14
06075042800,31,0,0,31,0
06073015705,14,2,920000,12,0
06037204420,8,0,0,8,0
06071003405,10,0,0,8,2
06037296902,30,1,645000,26,3
06037104105,30,1,525000,24,5
06037543705,27,0,0,25,2
06001450743,52,0,0,51,1
06059076001,74,2,1650000,59,13
06073015706,5,0,0,5,0
06037207303,5,0,0,5,0
06085511707,35,0,0,35,0
06037403407,13,0,0,13,0
06001450744,70,0,0,69,1
06085512510,156,4,3460000,130,22
06013311000,64,2,1380000,46,15
06081609700,75,0,0,74,1
06103001101,29,1,385000,20,8
06065042520,27,0,0,15,12
06059076002,12,1,825000,11,0
06013315000,60,0,0,48,12
06037207304,11,0,0,11,0
06085512511,54,0,0,47,7
06103001102,59,2,650000,39,15
06065042521,58,2,940000,34,22
06071007407,17,1,285000,8,8
06001450745,52,0,0,51,1
06037403408,50,0,0,49,1
06065041403,68,5,3355000,53,10
06095253201,85,11,6485000,67,7
06085512512,40,0,0,37,3
06037104108,11,0,0,7,4
06037192001,20,0,0,20,0
06071007408,27,4,1350000,17,6
06037222100,18,0,0,16,2
06001450746,56,0,0,55,1
06059062800,52,0,0,52,0
06065041404,42,1,635000,34,7
06065042522,15,1,485000,12,2
06037403409,39,1,685000,38,0
06059032061,97,1,755000,96,0
06037207305,18,1,435000,17,0
06059032020,78,0,0,73,5
06085512513,23,2,1470000,18,3
06037433601,16,0,0,15,1
06037192002,36,0,0,36,0
06075013101,29,0,0,29,0
06065041405,40,0,0,36,4
06059087401,71,3,1605000,65,3
06041116000,38,0,0,38,0
06095253203,90,6,3600000,69,14
06059032062,99,1,915000,98,0
06037577900,62,4,2720000,50,8
06037207306,11,0,0,11,0
06071007409,100,3,1435000,61,36
06065042523,35,0,0,25,10
06087110601,33,1,225000,26,6
06037204110,18,0,0,15,3
06087110602,11,0,0,11,0
06085512514,46,0,0,46,0
06059032063,119,1,645000,116,2
06085508800,15,0,0,15,0
